OrderID,Region,Product,Sales,Quantity
101,north,laptop,55000.0,2.0
102,south,mobile,25000.0,3.0
103,east,tablet,34027.77777777778,1.8823529411764706
104,west,laptop,60000.0,1.0
105,north,mobile,24000.0,2.0
112,west,tablet,20000.0,2.0
106,south,tablet,19000.0,2.0
107,east,laptop,58000.0,1.0
108,west,mobile,26000.0,3.0
109,north,tablet,17500.0,2.0
110,south,laptop,34027.77777777778,1.0
111,east,mobile,23000.0,2.0
113,north,laptop,55000.0,2.0
114,south,mobile,25000.0,3.0
115,east,tablet,18000.0,2.0
116,west,laptop,60000.0,1.0
117,north,mobile,24000.0,1.8823529411764706
118,south,tablet,19000.0,2.0
119,east,laptop,58000.0,1.0
120,west,mobile,26000.0,1.8823529411764706
