OrderID,Sales,Quantity,Region_east,Region_north,Region_south,Region_west,Product_laptop,Product_mobile,Product_tablet
101,1.3042542631545317,0.1888137280123403,0,1,0,0,1,0,0
102,-0.5614339543380431,1.7937304161172327,0,0,1,0,0,1,0
103,4.524889463919135e-16,0.0,1,0,0,0,0,0,1
104,1.6152022994032944,-1.4161029600925519,0,0,0,1,1,0,0
105,-0.6236235615877956,0.1888137280123403,0,1,0,0,0,1,0
112,-0.8723819905868057,0.1888137280123403,0,0,0,1,0,0,1
106,-0.9345715978365582,0.1888137280123403,0,0,1,0,0,0,1
107,1.4908230849037893,-1.4161029600925519,1,0,0,0,1,0,0
108,-0.49924434708829063,1.7937304161172327,0,0,0,1,0,1,0
109,-1.027856008711187,0.1888137280123403,0,1,0,0,0,0,1
110,4.524889463919135e-16,-1.4161029600925519,0,0,1,0,1,0,0
111,-0.6858131688375482,0.1888137280123403,1,0,0,0,0,1,0
113,1.3042542631545317,0.1888137280123403,0,1,0,0,1,0,0
114,-0.5614339543380431,1.7937304161172327,0,0,1,0,0,1,0
115,-0.9967612050863106,0.1888137280123403,1,0,0,0,0,0,1
116,1.6152022994032944,-1.4161029600925519,0,0,0,1,1,0,0
117,-0.6236235615877956,0.0,0,1,0,0,0,1,0
118,-0.9345715978365582,0.1888137280123403,0,0,1,0,0,0,1
119,1.4908230849037893,-1.4161029600925519,1,0,0,0,1,0,0
120,-0.49924434708829063,0.0,0,0,0,1,0,1,0
